job_title,salary_min,salary_max,company_id,job_description,position,yof,date_posted,skills
Mid-level iOS Developer,2500,3800,Shopee,We're looking for an iOS developer with 3-5 years of experience to join our mobile development team. You'll work on our iOS applications and improve the user experience.,Mobile App Developer,Mid-level,2025-08-20,Swift;Objective-C;UIKit;SwiftUI
Senior UX/UI Designer,3500,5000,W3Schools.com,Seeking an experienced UX/UI Designer to create beautiful and functional user interfaces for our web and mobile applications.,UI/UX Designer,Senior,2025-07-15,Figma;Adobe XD;User Research;Prototyping
Blockchain Developer,4000,6500,KMS Technology - Mexico,Join our blockchain team to develop decentralized applications and smart contracts. You should have experience with blockchain technologies and smart contract development.,Software Engineer,Senior,2025-09-05,Solidity;Ethereum;Web3.js;Smart Contracts
Lead Data Scientist,5000,7000,Google,We're seeking a Lead Data Scientist to head our data science team. You'll be responsible for developing machine learning models and managing a team of data scientists.,Data Scientist,Lead,2025-10-22,Python;Machine Learning;Deep Learning;TensorFlow
Fresher Web Developer,1000,1800,VNG Corporation,Great opportunity for fresh graduates to start their career in web development. You'll be working on our web applications and learning modern web technologies.,Software Engineer,Fresher,2025-11-08,HTML;CSS;JavaScript;React
Junior Data Scientist,1800,2500,W3Schools.com,Looking for a Junior Data Scientist to help analyze business data and provide insights. You'll be working with our data team to create reports and dashboards.,Data Scientist,Junior,2025-12-05,SQL;Excel;Data Visualization;Power BI
Intern Backend Developer,800,1200,VNG Corporation,Internship opportunity for students interested in backend development. You'll be working with our backend team and learning about server-side technologies.,Software Engineer,Intern,2025-06-15,Java;Spring Boot;SQL;APIs
Principal Cloud Architect,7000,9000,Google,"We're looking for an experienced Cloud Architect to design and implement our cloud infrastructure. You'll be responsible for designing scalable, secure, and efficient cloud solutions.",DevOps Engineer,Principal/Expert,2025-07-20,AWS;Azure;GCP;Infrastructure as Code
Lead Frontend Developer,4500,6500,Shopee,Join our team as a Lead Frontend Developer to oversee our frontend development efforts. You'll be managing a team of frontend developers and setting technical direction.,Software Engineer,Lead,2025-09-10,JavaScript;TypeScript;React;Vue.js
Junior DevOps Engineer,1800,2800,KMS Technology - Mexico,"We're seeking a Junior DevOps Engineer to support our DevOps team. You'll be learning about CI/CD pipelines, container technologies, and cloud infrastructure.",DevOps Engineer,Junior,2025-11-25,Docker;Jenkins;Linux;Git
Intern Machine Learning Engineer,900,1300,W3Schools.com,Internship opportunity for students interested in machine learning. You'll be working with our AI team and learning about ML algorithms and applications.,AI Engineer,Intern,2025-12-15,Python;Pandas;NumPy;Machine Learning
Mid-level Backend Developer,2800,4000,VNG Corporation,Join our backend team to build robust and scalable APIs and services. You'll be working with modern technologies to develop server-side applications.,Software Engineer,Mid-level,2025-10-08,NodeJS;ExpressJS;MongoDB;PostgreSQL
Java Developer,2200,3500,FPT Software,We're looking for a Java Developer to join our enterprise solutions team. You'll be working on developing and maintaining Java-based applications for our global clients.,Software Engineer,Mid-level,2025-09-05,Java;Spring Boot;Hibernate;MySQL
Senior Software Engineer,3500,5500,FPT Software,Join our team as a Senior Software Engineer to design and implement complex software systems. You'll lead technical discussions and mentor junior developers.,Software Engineer,Senior,2025-10-12,Java;Microservices;Docker;Kubernetes
Frontend Developer,1800,3000,Tiki Corporation,We're seeking a Frontend Developer to help build and maintain our e-commerce platform. You'll work on creating responsive and user-friendly interfaces.,Software Engineer,Mid-level,2025-11-08,JavaScript;ReactJS;HTML;CSS
Backend Developer,2500,4000,Tiki Corporation,Join our backend team to develop and optimize our e-commerce platform's APIs and services. You'll work with high-traffic systems and focus on performance and scalability.,Software Engineer,Senior,2025-08-15,PHP;Laravel;MySQL;Redis
Cloud Solutions Architect,5000,8000,Microsoft,We're looking for a Cloud Solutions Architect to design and implement Azure-based solutions for our enterprise customers. You'll work with clients to understand their requirements and provide technical leadership.,Cloud Solutions Architect,Lead,2025-07-10,Azure;Cloud Architecture;Infrastructure as Code;Networking
AI Research Scientist,7000,10000,Microsoft,Join our AI research team to advance the state-of-the-art in artificial intelligence. You'll work on cutting-edge research projects and publish papers in top-tier conferences.,AI Engineer,Principal/Expert,2025-10-05,Machine Learning;Deep Learning;Natural Language Processing;Computer Vision
Mobile App Developer,2000,3500,Momo,We're looking for a Mobile App Developer to join our team and help improve our mobile payment application. You'll work on features that millions of Vietnamese users rely on daily.,Mobile App Developer,Mid-level,2025-09-20,Android;Kotlin;iOS;Swift
Financial Software Engineer,3000,4500,Momo,Join our team as a Financial Software Engineer to develop secure and reliable systems for digital payments and financial transactions.,Backend Developer,Senior,2025-11-15,Java;Spring;Security;Payment Systems
Product Manager,4000,6000,Grab,We're seeking a Product Manager to lead the development of new features for our super app. You'll work with cross-functional teams to define product requirements and drive execution.,Product Manager,Lead,2025-08-25,Product Strategy;Agile;User Research;Data Analysis
Backend Engineer,3000,5000,Grab,"Join our backend team to build and scale our microservices architecture. You'll work on high-volume, real-time systems that power our transportation and food delivery platform.",Backend Developer,Senior,2025-10-18,Go;Microservices;Kubernetes;Distributed Systems
Software Engineer,2000,3500,CMC Global,We're looking for a Software Engineer to join our team working on enterprise projects. You'll collaborate with global clients to deliver high-quality software solutions.,Backend Developer,Mid-level,2025-09-10,Java;.NET;SQL;Web Services
Technical Project Manager,3500,5000,CMC Global,"Join our team as a Technical Project Manager to lead software development projects. You'll be responsible for project planning, execution, and delivery.",Product Manager,Lead,2025-07-20,Project Management;Agile;Scrum;JIRA
Network Engineer,2500,4000,Viettel Group,We're seeking a Network Engineer to design and maintain our telecommunications infrastructure. You'll work with cutting-edge networking technologies and ensure high availability.,Network Engineer,Senior,2025-08-05,TCP/IP;Routing;Switching;Network Security
Cybersecurity Analyst,3000,4500,Viettel Group,"Join our security team as a Cybersecurity Analyst to protect our networks and systems from threats. You'll monitor, detect, and respond to security incidents.",Cybersecurity Analyst,Mid-level,2025-11-22,Security Operations;SIEM;Threat Hunting;Incident Response
AWS Solutions Architect,5000,8000,Amazon,We're looking for an AWS Solutions Architect to help our customers design and implement cloud solutions. You'll provide technical guidance and best practices for cloud adoption.,Cloud Engineer,Senior,2025-10-30,AWS;Cloud Migration;Architecture Design;Cost Optimization
Senior Software Development Engineer,6000,9000,Amazon,"Join our engineering team to build scalable and reliable services. You'll design, develop, and deploy systems that power Amazon's global operations.",Backend Developer,Senior,2025-09-15,Java;Distributed Systems;High Availability;Performance Optimization
.NET Developer,2200,3800,NashTech,We're seeking a .NET Developer to work on enterprise applications for our clients. You'll develop and maintain software using Microsoft technologies.,Backend Developer,Mid-level,2025-08-18,C#;.NET Core;SQL Server;Azure
QA Automation Engineer,2000,3500,NashTech,Join our quality assurance team to develop and maintain automated test frameworks. You'll ensure the quality of our software through comprehensive testing strategies.,QA Engineer,Mid-level,2025-10-25,Selenium;TestNG;CI/CD;API Testing
Senior Cloud Engineer,4500,7000,Microsoft,Join our cloud infrastructure team to design and implement scalable cloud solutions. You'll work with Azure and help customers migrate to the cloud.,Cloud Engineer,Senior,2025-03-15,Azure;Terraform;Kubernetes;DevOps
Frontend Tech Lead,5000,7500,Grab,Lead our frontend development team in building next-generation web applications. You'll mentor developers and drive technical decisions.,Frontend Developer,Lead,2025-04-20,React;TypeScript;Web Performance;Team Leadership
Junior DevOps Engineer,1800,2800,VNG Corporation,Great opportunity for a Junior DevOps Engineer to learn and grow. You'll work with CI/CD pipelines and cloud infrastructure.,DevOps Engineer,Junior,2025-05-10,Docker;Jenkins;Linux;Shell Scripting
Data Engineering Lead,5500,8000,Shopee,Lead our data engineering team in building robust data pipelines and analytics platforms. You'll drive data strategy and mentor team members.,Data Engineer,Lead,2025-06-05,Python;Spark;Data Warehousing;ETL
Mobile App Tech Lead,4800,7200,Momo,Lead our mobile development team in creating innovative financial applications. You'll guide technical decisions and ensure high-quality code.,Mobile App Developer,Lead,2025-07-15,Android;iOS;Flutter;Mobile Architecture
Senior Backend Developer,4200,6500,FPT Software,Join our backend team to build scalable microservices and APIs. You'll work with modern technologies and cloud platforms.,Backend Developer,Senior,2025-08-22,Java;Spring Boot;Microservices;AWS
UI/UX Designer,2500,4000,Tiki Corporation,Create beautiful and intuitive user interfaces for our e-commerce platform. You'll work closely with product and development teams.,UI/UX Designer,Mid-level,2025-09-30,Figma;Adobe XD;User Research;Prototyping
Data Scientist,3500,5500,CMC Global,Work on exciting data science projects and build machine learning models. You'll analyze data and provide insights to drive business decisions.,Data Scientist,Mid-level,2025-10-12,Python;Machine Learning;SQL;Data Analysis
Cybersecurity Analyst,4000,6000,Viettel Group,Protect our infrastructure and applications from security threats. You'll implement security measures and conduct security assessments.,Cybersecurity Analyst,Senior,2025-11-05,Security;Network Security;Penetration Testing;Compliance
Product Owner,3800,5800,KMS Technology - Mexico,Lead product development teams and manage product backlogs. You'll work with stakeholders to define requirements and prioritize features.,Product Manager,Mid-level,2025-12-18,Agile;Scrum;Product Strategy;Stakeholder Management
QA Team Lead,3500,5200,NashTech,Lead our QA team in ensuring software quality. You'll develop testing strategies and mentor QA engineers.,Quality Assurance,Lead,2025-01-25,Test Planning;Automation;Team Leadership;Quality Assurance
Blockchain Developer,4500,7000,W3Schools.com,Develop blockchain solutions and smart contracts. You'll work with cutting-edge blockchain technologies.,Software Development,Senior,2025-02-15,Solidity;Web3.js;Smart Contracts;Blockchain
Cloud Architect,5500,8000,Amazon,Design and implement cloud architecture solutions. You'll help customers optimize their cloud infrastructure.,Cloud Computing,Senior,2025-03-28,AWS;Cloud Architecture;Infrastructure as Code;DevOps
Frontend Developer,2200,3500,Oracle,Build modern web applications using React and TypeScript. You'll work on user interfaces for enterprise solutions.,Software Development,Mid-level,2025-04-10,React;TypeScript;CSS;Web Development
DevOps Lead,5000,7500,Salesforce,Lead our DevOps initiatives and improve deployment processes. You'll drive automation and infrastructure improvements.,DevOps,Lead,2025-05-22,CI/CD;Kubernetes;Infrastructure as Code;Team Leadership
AI Research Engineer,4800,7200,IBM,Research and develop AI solutions. You'll work on cutting-edge machine learning projects.,Artificial Intelligence,Senior,2025-06-15,Machine Learning;Deep Learning;Python;Research
Network Cybersecurity Analyst,4000,6000,Cisco,Design and implement network security solutions. You'll protect enterprise networks from threats.,Network & Security,Senior,2025-07-20,Network Security;Firewalls;VPN;Security Protocols
Full Stack Developer,3000,4500,Adobe,Develop full-stack applications using modern technologies. You'll work on creative tools and solutions.,Software Development,Mid-level,2025-08-05,JavaScript;Node.js;React;MongoDB
Senior Software Engineer,4500,6500,Qualcomm,Join our team to develop cutting-edge semiconductor solutions. You'll work on advanced technologies and drive innovation.,Software Development,Senior,2025-01-15,C++;Embedded Systems;RTOS;Hardware Integration
Cloud Infrastructure Engineer,3800,5800,Dell Technologies,Design and implement cloud infrastructure solutions. You'll work with enterprise clients to optimize their cloud environments.,DevOps,Mid-level,2025-02-20,AWS;Azure;Terraform;Kubernetes
Hardware Engineer,4000,6000,HP Inc.,Develop next-generation hardware solutions. You'll work on innovative products and improve performance.,Hardware,Senior,2025-03-10,PCB Design;Hardware Testing;CAD;System Architecture
GPU Software Engineer,5000,7500,NVIDIA,Work on GPU software development and optimization. You'll help advance graphics and computing technologies.,Software Development,Senior,2025-04-05,CUDA;OpenGL;C++;GPU Programming
Systems Architect,5500,8000,Qualcomm,Design complex system architectures for mobile and IoT devices. You'll lead technical decisions and mentor teams.,Software Development,Lead,2025-05-15,System Design;Architecture;Performance Optimization;Team Leadership
Storage Solutions Engineer,4200,6500,Dell Technologies,Develop enterprise storage solutions. You'll work on data protection and storage optimization.,Hardware,Senior,2025-06-20,Storage Systems;RAID;Data Protection;Performance Tuning
Printer Systems Engineer,3500,5500,HP Inc.,Work on printer firmware and software development. You'll improve print quality and system reliability.,Software Development,Mid-level,2025-07-25,Firmware;C++;Embedded Systems;Print Technologies
AI Hardware Engineer,4800,7200,NVIDIA,Design AI acceleration hardware. You'll work on next-generation AI computing solutions.,Hardware,Senior,2025-08-30,AI Hardware;VLSI;Computer Architecture;Performance Analysis
Mobile Software Engineer,4000,6000,Qualcomm,Develop mobile platform software. You'll optimize performance and power efficiency.,Software Development,Senior,2025-09-10,Android;Linux Kernel;Mobile Development;Performance Optimization
Enterprise Solutions Architect,5000,7500,Dell Technologies,Design enterprise IT solutions. You'll help clients modernize their infrastructure.,Cloud Computing,Senior,2025-10-15,Enterprise Architecture;Cloud Migration;IT Infrastructure;Consulting
Security Researcher,4500,7000,HP Inc.,Research and develop security solutions. You'll protect systems from emerging threats.,Cybersecurity Analyst,Senior,2025-11-20,Security Research;Threat Analysis;Penetration Testing;Security Protocols
Graphics Software Engineer,4800,7200,NVIDIA,Develop graphics drivers and software. You'll advance gaming and professional graphics.,Software Engineer,Senior,2025-12-25,Graphics Programming;DirectX;OpenGL;Driver Development
IoT Solutions Engineer,3800,5800,Qualcomm,Design IoT solutions and connectivity. You'll work on smart device technologies.,Software Engineer,Mid-level,2025-01-05,IoT;Wireless Protocols;Embedded Systems;Connectivity
Data Center Architect,5200,7800,Dell Technologies,Design modern data center solutions. You'll optimize infrastructure and efficiency.,Cloud Engineer,Senior,2025-02-10,Data Center Design;Infrastructure;Energy Efficiency;Cloud Computing
Print Systems Developer,3500,5500,HP Inc.,Develop print management systems. You'll improve print workflows and security.,Software Engineer,Mid-level,2025-03-15,Print Systems;Security;Workflow Automation;Enterprise Software
Deep Learning Engineer,5000,7500,NVIDIA,Develop deep learning frameworks and tools. You'll advance AI capabilities.,AI Engineer,Senior,2025-04-20,Deep Learning;PyTorch;TensorFlow;GPU Computing
Wireless Systems Engineer,4200,6500,Qualcomm,Design wireless communication systems. You'll advance mobile connectivity.,Hardware Engineer,Senior,2025-05-25,Wireless Systems;RF Design;Signal Processing;Protocols
Cloud Solutions Engineer,4500,7000,Dell Technologies,Implement cloud solutions for enterprises. You'll optimize cloud performance.,Cloud Engineer,Senior,2025-06-30,Cloud Computing;DevOps;Infrastructure as Code;Automation
Security Solutions Architect,4800,7200,HP Inc.,Design security architectures. You'll protect enterprise systems.,Cybersecurity Analyst,Senior,2025-07-05,Cloud Computing;DevOps;Infrastructure as Code;Automation
GPU Architecture Engineer,5000,7500,NVIDIA,Design next-generation GPU architectures. You'll push graphics technology forward.,Hardware Engineer,Senior,2025-08-15,GPU Design;Computer Architecture;VLSI;Performance Optimization
Cloud Infrastructure Engineer,4500,6800,Oracle,Build and maintain cloud infrastructure. You'll ensure high availability and scalability.,Cloud Engineer,Senior,2025-09-20,Cloud Computing;Kubernetes;Terraform;CI/CD
AI Research Scientist,5500,8000,Salesforce,Research and develop AI solutions. You'll advance machine learning capabilities.,AI Engineer,Senior,2025-10-05,Machine Learning;Deep Learning;NLP;Research
Quantum Computing Researcher,6000,8500,IBM,Research quantum computing applications. You'll pioneer quantum technology.,AI Engineer,Senior,2025-11-10,Quantum Computing;Physics;Algorithm Design;Research
Network Cybersecurity Analyst,4800,7200,Cisco,Secure network infrastructure. You'll protect against cyber threats.,Cybersecurity Analyst,Senior,2025-12-15,Network Security;Firewalls;VPN;Security Protocols
Mobile Chip Designer,5200,7800,Qualcomm,Design mobile processors. You'll optimize mobile performance.,Hardware Engineer,Senior,2026-01-20,Chip Design;VLSI;Power Optimization;Mobile Architecture
Enterprise Solutions Architect,5500,8200,Dell Technologies,Design enterprise IT solutions. You'll transform business infrastructure.,Solutions Architect,Senior,2026-02-25,Enterprise Architecture;Cloud Computing;Storage Solutions;Networking
Printer Systems Engineer,4200,6500,HP Inc.,Develop printer systems. You'll innovate printing technology.,Systems Engineer,Senior,2026-03-30,Embedded Systems;Hardware Design;Firmware;Printing Technology
Graphics Software Engineer,4800,7200,NVIDIA,Develop graphics drivers. You'll enhance visual computing.,Software Engineer,Senior,2026-04-05,Graphics Programming;CUDA;OpenGL;Driver Development
Database Administrator,4500,6800,Oracle,Manage database systems. You'll ensure data integrity and performance.,Database Engineer,Senior,2026-05-10,Database Management;SQL;Performance Tuning;Backup/Recovery
AI Platform Engineer,5200,7800,Salesforce,Build AI platforms. You'll enable machine learning at scale.,AI Engineer,Senior,2026-06-15,AI Infrastructure;Distributed Systems;MLOps;Cloud Computing
Quantum Software Engineer,5800,8300,IBM,Develop quantum software. You'll create quantum applications.,Software Engineer,Senior,2026-07-20,Quantum Computing;Python;Qiskit;Algorithm Design
Network Architect,5000,7500,Cisco,Design network architectures. You'll build scalable networks.,Network Engineer,Senior,2026-08-25,Network Design;Routing;Switching;Network Security
RF Engineer,4800,7200,Qualcomm,Design RF systems. You'll advance wireless technology.,Hardware Engineer,Senior,2026-09-30,RF Design;Wireless Systems;Signal Processing;Antenna Design
Storage Solutions Architect,5200,7800,Dell Technologies,Design storage solutions. You'll optimize data storage.,Solutions Architect,Senior,2026-10-05,Storage Architecture;Data Protection;Performance Optimization;Cloud Storage
Security Researcher,5500,8000,HP Inc.,Research security threats. You'll protect against vulnerabilities.,Cybersecurity Analyst,Senior,2026-11-10,Security Research;Vulnerability Assessment;Penetration Testing;Security Tools
AI Hardware Engineer,5800,8300,NVIDIA,Design AI hardware. You'll accelerate machine learning.,Hardware Engineer,Senior,2026-12-15,AI Hardware;Computer Architecture;VLSI;Performance Optimization
Cloud Cybersecurity Analyst,5000,7500,Oracle,Secure cloud infrastructure. You'll protect cloud services.,Cybersecurity Analyst,Senior,2027-01-20,Cloud Security;Identity Management;Encryption;Security Compliance
ML Infrastructure Engineer,5500,8000,Salesforce,Build ML infrastructure. You'll scale machine learning systems.,ML Engineer,Senior,2027-02-25,ML Infrastructure;Distributed Systems;MLOps;Cloud Computing
Quantum Hardware Engineer,6000,8500,IBM,Design quantum hardware. You'll advance quantum computing.,Hardware Engineer,Senior,2027-03-30,ML Infrastructure;Distributed Systems;MLOps;Cloud Computing
Cloud Cybersecurity Analyst,5000,7500,Oracle,Secure cloud infrastructure. You'll protect cloud services.,Cybersecurity Analyst,Senior,2027-01-20,Cloud Security;Identity Management;Encryption;Security Compliance
ML Infrastructure Engineer,5500,8000,Salesforce,Build ML infrastructure. You'll scale machine learning systems.,AI Engineer,Senior,2027-02-25,ML Infrastructure;Distributed Systems;MLOps;Cloud Computing
Quantum Hardware Engineer,6000,8500,IBM,Design quantum hardware. You'll advance quantum computing.,Robotics Engineer,Senior,2027-03-30,ML Infrastructure;Distributed Systems;MLOps;Cloud Computing
